group;SaM-ID 10374;SaM-ID 12290a;SaM-ID 12290b;SaM-ID 10377;SaM-ID 10376;SaM-ID 10380;SaM-ID 10381;SaM-ID 10379;SaM-ID 10375;SaM-ID 10378;SaM-ID 10373;SaM-ID 10368;SaM-ID 10367;SaM-ID 10371;SaM-ID 10372;SaM-ID 10369;SaM-ID 10370;SaM-ID 10385;SaM-ID 10386;SaM-ID 41888;SaM-ID 10358;SaM-ID 10355;SaM-ID 10357;SaM-ID 10356;SaM-ID 10363;SaM-ID 10364;SaM-ID 10366;SaM-ID 10360;SaM-ID 10362;SaM-ID no
site;Sta.468-1;Sta.468-1;Sta.468-1;Sta.468-1;Sta.468-1;Sta.468-1;Sta.468-1;Sta.468-1;Sta.468-1;Sta.468-1;Sta.476-1;Sta.443-2;Sta.443-2;Sta.443-2;Sta.443-2;Sta.443-2;Sta.443-2;Sta.460-1;Sta.460-1;Sta.460-1;Sta.416-1;Sta.416-1;Sta.416-1;Sta.416-1;Sta.433-1;Sta.433-1;Sta.433-1;Sta.433-1;Sta.433-1;Sta.433-1
curled up small serpulidae;456;20;34;277;175;106;72;120;132;194;601;19;216;33;189;118;232;42;47;13;6;12;31;26;69;31;16;18;64;48
non-curled up small serpulidae;205;10;25;6;52;36;165;83;81;143;127;9;20;26;62;56;97;20;16;32;22;19;21;20;55;18;24;9;89;94
big serpulidae;30;0;4;3;7;3;8;2;8;11;3;1;1;1;18;2;13;2;3;4;1;3;7;0;2;2;0;0;8;7
incrusting bryozoa;120;6;13;36;31;17;48;40;40;52;88;20;45;37;84;57;68;50;39;38;11;24;8;15;38;22;9;28;87;93
non-incrusting bryozoa;65;8;6;12;29;3;24;19;25;19;123;7;19;16;30;22;28;18;16;37;11;7;5;6;9;3;1;4;53;47
cirripedia;26;1;0;1;3;0;1;4;3;5;11;4;22;19;58;26;26;17;10;19;20;24;3;6;10;1;1;29;30;15
bivalvia;13;1;2;4;0;1;4;8;6;7;19;2;0;1;2;4;7;0;1;0;2;1;1;2;1;0;0;0;2;0
gastropoda;6;0;0;0;0;2;0;0;2;0;6;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0
ophiuroidea;21;0;0;0;0;2;5;2;1;4;1;0;1;2;1;3;3;2;2;12;0;2;1;2;0;0;0;0;2;0
porifera;27;4;0;0;1;2;10;7;5;7;15;4;11;3;17;2;13;2;4;8;4;5;1;3;0;0;1;0;3;2
non-incrusting algae;3;1;0;0;2;2;4;5;6;4;9;1;2;1;4;2;1;1;1;0;0;0;1;0;0;0;1;1;10;5
crustacea;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;3;0;1;0;0;0;1;0;0;2;0
unknown;3;0;0;0;0;0;0;2;3;0;8;2;0;2;1;1;0;0;0;0;1;0;1;1;0;2;1;1;3;2
