sample;station;shannon_H;depth;depth_mid
SaM-ID 10374;Sta.468-1;1,631910785;25.5-26.5m;26m
SaM-ID 12290a;Sta.468-1;1,65983028;25.5-26.5m;26m
SaM-ID 12290b;Sta.468-1;1,43802485;25.5-26.5m;26m
SaM-ID 10377;Sta.468-1;0,704259748;25.5-26.5m;26m
SaM-ID 10376;Sta.468-1;1,26474613;25.5-26.5m;26m
SaM-ID 10380;Sta.468-1;1,230131714;25.5-26.5m;26m
SaM-ID 10381;Sta.468-1;1,517246607;25.5-26.5m;26m
SaM-ID 10379;Sta.468-1;1,591923488;25.5-26.5m;26m
SaM-ID 10375;Sta.468-1;1,631884237;25.5-26.5m;26m
SaM-ID 10378;Sta.468-1;1,468441343;25.5-26.5m;26m
SaM-ID 10373;Sta.476-1;1,371355794;22.5-23.3m;22,9m
SaM-ID 10368;Sta.443-2;1,870072853;43.5-49.5m;46,5m
SaM-ID 10367;Sta.443-2;1,238525036;43.5-49.5m;46,5m
SaM-ID 10371;Sta.443-2;1,82767189;43.5-49.5m;46,5m
SaM-ID 10372;Sta.443-2;1,716233842;43.5-49.5m;46,5m
SaM-ID 10369;Sta.443-2;1,654573835;43.5-49.5m;46,5m
SaM-ID 10370;Sta.443-2;1,567498425;43.5-49.5m;46,5m
SaM-ID 10385;Sta.460-1;1,680795971;40.0-89.7m;64,85m
SaM-ID 10386;Sta.460-1;1,757272136;40.0-89.7m;64,85m
SaM-ID 41888;Sta.460-1;1,960389654;40.0-89.7m;64,85m
SaM-ID 10358;Sta.416-1;1,885281654;40-49m;44,5m
SaM-ID 10355;Sta.416-1;1,884350172;40-49m;44,5m
SaM-ID 10357;Sta.416-1;1,73217033;40-49m;44,5m
SaM-ID 10356;Sta.416-1;1,767097949;40-49m;44,5m
SaM-ID 10363;Sta.433-1;1,437913396;42.3-46.2m;44,25m
SaM-ID 10364;Sta.433-1;1,475130953;42.3-46.2m;44,25m
SaM-ID 10366;Sta.433-1;1,388803812;42.3-46.2m;44,25m
SaM-ID 10360;Sta.433-1;1,518696385;42.3-46.2m;44,25m
SaM-ID 10362;Sta.433-1;1,85212105;42.3-46.2m;44,25m
SaM-ID no;Sta.433-1;1,655347119;42.3-46.2m;44,25m
